,0
1069,2
1070,3
1071,5
1072,2
1073,5
1074,6
1075,2
1076,2
1077,6
1078,0
1079,7
1080,6
1081,0
1082,5
1083,2
1084,2
1085,3
1086,3
1087,3
1088,6
1089,0
1090,0
1091,2
1092,3
1093,7
1094,2
1095,1
1096,6
1097,2
1098,2
1099,0
1100,0
1101,4
1102,2
1103,3
1104,3
1105,3
1106,3
1107,0
1108,3
1109,5
1110,2
1111,2
1112,0
1113,3
1114,5
1115,3
1116,6
1117,2
1118,7
1119,7
1120,2
1121,6
1122,2
1123,6
1124,5
1125,3
1126,3
1127,2
1128,3
1129,3
1130,6
1131,5
1132,0
1133,0
1134,3
1135,6
1136,2
1137,2
1138,2
1139,1
1140,2
1141,2
1142,2
1143,4
1144,3
1145,5
1146,3
1147,2
1148,6
1149,3
1150,5
1151,6
1152,6
1153,5
1154,2
1155,2
1156,3
1157,2
1158,3
1159,3
1160,2
1161,7
1162,3
1163,6
1164,3
1165,7
1166,4
1167,2
1168,3
1169,4
1170,6
1171,3
1172,7
1173,7
1174,6
1175,2
1176,3
1177,3
1178,0
1179,6
1180,3
1181,7
1182,2
1183,5
1184,3
1185,2
1186,5
1187,6
1188,3
1189,5
1190,3
1191,3
1192,3
1193,2
1194,3
1195,6
1196,0
1197,3
1198,3
1199,4
1200,5
1201,7
1202,2
1203,3
1204,1
1205,7
1206,6
1207,2
1208,0
1209,3
1210,2
1211,3
1212,0
1213,5
1214,6
1215,3
1216,2
1217,2
1218,3
1219,3
1220,2
1221,3
1222,3
1223,2
1224,2
1225,6
1226,2
1227,3
1228,0
1229,2
1230,0
1231,5
1232,2
1233,7
1234,5
1235,2
1236,2
1237,3
1238,0
1239,3
1240,2
1241,3
1242,2
1243,3
1244,0
1245,7
1246,6
1247,2
1248,3
1249,7
1250,2
1251,7
1252,2
1253,3
1254,6
1255,7
1256,3
1257,2
1258,3
1259,2
1260,6
1261,2
1262,2
1263,4
1264,5
1265,3
1266,6
1267,5
1268,6
1269,0
1270,1
1271,3
1272,3
1273,7
1274,0
1275,2
1276,1
1277,3
1278,3
1279,5
1280,1
1281,6
1282,0
1283,3
1284,2
1285,1
1286,0
1287,7
1288,1
1289,0
1290,7
1291,7
1292,1
1293,6
1294,1
1295,7
1296,5
1297,2
1298,2
1299,2
1300,2
1301,6
1302,5
1303,4
1304,4
1305,4
1306,2
1307,4
1308,6
1309,5
1310,2
1311,4
1312,4
1313,5
1314,5
1315,4
1316,2
1317,5
1318,2
1319,2
1320,3
1321,3
1322,6
1323,0
1324,5
1325,3
1326,7
1327,7
1328,3
1329,3
1330,7
1331,3
1332,0
1333,3
1334,6
1335,3
1336,3
1337,6
1338,7
1339,7
1340,7
1341,7
1342,6
1343,7
1344,6
1345,1
1346,7
1347,2
1348,3
1349,1
1350,5
1351,0
1352,5
1353,3
1354,7
1355,7
1356,1
1357,0
1358,3
1359,1
1360,7
1361,7
1362,3
1363,7
1364,6
1365,4
1366,0
1367,3
1368,6
1369,3
1370,7
1371,1
1372,7
1373,7
1374,3
1375,6
1376,3
1377,7
1378,6
1379,3
1380,3
1381,3
1382,4
1383,7
1384,1
1385,6
1386,5
1387,5
1388,1
1389,1
1390,1
1391,3
1392,0
1393,1
1394,7
1395,6
1396,5
1397,6
1398,6
1399,6
1400,1
1401,1
1402,3
1403,1
1404,2
1405,5
1406,5
1407,7
1408,0
1409,5
1410,7
1411,7
1412,3
1413,6
1414,3
1415,2
1416,6
1417,6
1418,3
1419,5
1420,6
1421,3
1422,6
1423,7
1424,2
1425,3
1426,3
1427,6
1428,7
1429,4
1430,7
1431,4
1432,5
1433,3
1434,7
1435,3
1436,3
1437,4
1438,6
1439,1
1440,6
1441,3
1442,3
1443,3
1444,7
1445,3
1446,3
1447,5
1448,4
1449,7
1450,6
1451,5
1452,4
1453,1
1454,3
1455,6
1456,5
1457,0
1458,7
1459,3
1460,0
1461,5
1462,4
1463,1
1464,0
1465,1
1466,3
1467,3
1468,7
1469,5
1470,1
1471,3
1472,0
1473,1
1474,3
1475,6
1476,2
1477,3
1478,5
1479,6
1480,5
1481,3
1482,3
1483,6
1484,0
1485,3
1486,3
1487,0
1488,4
1489,6
1490,5
1491,6
1492,3
1493,3
1494,7
1495,1
1496,2
1497,3
1498,7
1499,7
1500,7
1501,6
1502,5
1503,0
1504,7
1505,3
1506,5
1507,3
1508,3
1509,2
1510,2
1511,6
1512,3
1513,0
1514,3
1515,5
1516,4
1517,2
1518,3
1519,0
1520,6
1521,2
1522,5
1523,6
1524,1
1525,0
1526,2
1527,4
1528,6
1529,1
1530,2
1531,4
1532,3
1533,7
1534,1
1535,3
1536,3
1537,1
1538,5
1539,4
1540,5
1541,7
1542,4
1543,0
1544,5
1545,7
1546,6
1547,7
1548,6
1549,6
1550,7
1551,2
1552,0
1553,5
1554,3
1555,1
1556,5
1557,4
1558,3
1559,2
1560,7
1561,7
1562,4
1563,3
1564,6
1565,6
1566,1
1567,3
1568,1
1569,6
1570,6
1571,3
1572,5
1573,3
1574,1
1575,7
1576,3
1577,5
1578,3
1579,0
1580,1
1581,1
1582,5
1583,7
1584,5
1585,7
1586,6
1587,0
1588,3
1589,3
1590,3
1591,0
1592,7
1593,7
1594,6
1595,7
1596,7
1597,3
1598,5
1599,3
1600,3
1601,1
1602,5
1603,3
1604,0
1605,3
1606,5
1607,7
1608,7
1609,6
1610,1
1611,4
1612,7
1613,5
1614,1
1615,7
1616,6
1617,1
1618,7
1619,0
1620,3
1621,3
1622,6
1623,6
1624,3
1625,6
1626,3
1627,7
1628,7
1629,7
1630,1
1631,5
1632,1
1633,3
1634,5
1635,5
1636,5
1637,3
1638,5
1639,3
1640,6
1641,7
1642,4
1643,7
1644,5
1645,6
1646,6
1647,0
1648,5
1649,1
1650,3
1651,4
1652,5
1653,5
1654,3
1655,7
1656,1
1657,3
1658,6
1659,7
1660,0
1661,2
1662,1
1663,1
1664,3
1665,2
1666,6
1667,0
1668,0
1669,6
1670,6
1671,4
1672,7
1673,7
1674,7
1675,1
1676,2
1677,6
1678,5
1679,3
1680,3
1681,5
1682,5
1683,6
1684,7
1685,3
1686,6
1687,7
1688,7
1689,7
1690,5
1691,3
1692,6
1693,3
1694,6
1695,7
1696,3
1697,6
1698,2
1699,7
1700,6
1701,5
1702,0
1703,2
1704,1
1705,5
1706,3
1707,3
1708,0
1709,4
1710,3
1711,1
1712,0
1713,7
1714,1
1715,4
1716,7
1717,1
1718,3
1719,6
1720,6
1721,1
1722,0
1723,7
1724,3
1725,4
1726,6
1727,7
1728,7
1729,3
1730,6
1731,3
1732,6
1733,3
1734,7
1735,4
1736,3
1737,5
1738,7
1739,3
1740,3
1741,7
1742,6
1743,3
1744,3
1745,1
1746,1
1747,2
1748,5
1749,6
1750,3
1751,1
1752,7
1753,5
1754,3
1755,2
1756,3
1757,3
1758,6
1759,3
1760,3
1761,6
1762,5
1763,6
1764,3
1765,7
1766,7
1767,6
1768,3
1769,5
1770,3
1771,6
1772,1
1773,5
1774,6
1775,0
1776,7
1777,7
1778,3
1779,5
1780,1
1781,5
1782,3
1783,3
1784,1
1785,6
1786,3
1787,3
1788,7
1789,7
1790,0
1791,3
1792,0
1793,7
1794,2
1795,0
1796,7
1797,3
1798,7
1799,3
1800,5
1801,5
1802,3
1803,3
1804,1
1805,2
1806,5
1807,1
1808,3
1809,1
1810,6
1811,3
1812,1
1813,3
1814,6
1815,3
1816,6
1817,3
1818,1
1819,6
1820,7
1821,3
1822,1
1823,3
1824,3
1825,1
1826,0
1827,4
1828,4
1829,5
1830,3
1831,2
1832,3
1833,7
1834,6
1835,0
1836,3
1837,7
1838,6
1839,3
1840,3
1841,3
1842,3
1843,7
1844,6
1845,3
1846,1
1847,3
1848,1
1849,5
1850,6
1851,3
1852,7
1853,5
1854,3
1855,6
1856,3
1857,3
1858,0
1859,1
1860,4
1861,7
1862,2
1863,1
1864,7
1865,1
1866,7
1867,7
1868,7
1869,7
1870,3
1871,0
1872,3
1873,3
1874,5
1875,2
1876,6
1877,7
1878,5
1879,7
1880,3
1881,7
1882,6
1883,3
1884,2
1885,5
1886,0
1887,6
1888,7
1889,3
1890,6
1891,6
1892,0
1893,3
1894,0
1895,6
1896,3
1897,6
1898,3
1899,6
1900,1
1901,7
1902,6
1903,7
1904,5
1905,1
1906,2
1907,3
1908,5
1909,0
1910,5
1911,3
1912,7
1913,3
1914,3
1915,3
1916,5
1917,3
1918,6
1919,7
1920,1
1921,5
1922,3
1923,7
1924,0
1925,2
1926,7
1927,3
1928,1
1929,3
1930,5
1931,3
1932,5
1933,1
1934,7
1935,3
1936,3
1937,6
1938,7
1939,4
1940,5
1941,6
1942,6
1943,5
1944,0
1945,0
1946,5
1947,4
1948,3
1949,6
1950,0
1951,0
1952,2
1953,3
1954,3
1955,7
1956,3
1957,3
1958,5
1959,7
1960,5
1961,1
1962,4
1963,3
1964,7
1965,4
1966,7
1967,7
1968,3
1969,7
1970,6
1971,7
1972,7
1973,5
1974,3
1975,0
1976,7
1977,3
1978,3
1979,1
1980,3
1981,0
1982,5
1983,3
1984,3
1985,6
1986,3
1987,1
1988,0
1989,5
1990,6
1991,6
1992,6
1993,3
1994,3
1995,3
1996,3
1997,2
1998,3
1999,7
2000,3
2001,3
2002,7
2003,6
2004,0
2005,6
2006,7
2007,2
2008,7
2009,1
2010,3
2011,3
2012,3
2013,6
2014,1
2015,7
2016,1
2017,4
2018,7
2019,5
2020,6
2021,3
2022,3
2023,3
2024,5
2025,6
2026,1
2027,5
2028,0
2029,3
2030,2
2031,7
2032,7
2033,6
2034,3
2035,1
2036,7
2037,5
2038,7
2039,1
2040,5
2041,0
2042,6
2043,7
2044,5
2045,3
2046,3
2047,1
2048,3
2049,4
2050,2
2051,7
2052,3
2053,5
2054,0
2055,6
2056,3
2057,7
2058,1
2059,6
2060,0
2061,0
2062,3
2063,2
2064,1
2065,2
2066,5
2067,0
2068,1
2069,7
2070,3
2071,7
2072,3
2073,1
2074,5
2075,4
2076,3
2077,6
2078,1
2079,6
2080,3
2081,7
2082,6
2083,6
2084,1
2085,1
2086,5
2087,0
2088,7
2089,7
2090,7
2091,5
2092,7
2093,7
2094,6
2095,7
2096,1
2097,5
2098,7
2099,6
2100,0
2101,5
2102,3
2103,5
2104,7
2105,3
2106,0
2107,1
2108,6
2109,6
2110,7
2111,3
2112,5
2113,1
2114,7
2115,4
2116,1
2117,7
2118,6
2119,5
2120,1
2121,7
2122,6
2123,3
2124,4
2125,7
2126,0
2127,3
2128,7
2129,4
2130,3
2131,2
2132,1
2133,7
2134,5
2135,2
2136,6
2137,1
2138,3
2139,3
2140,3
2141,3
2142,2
2143,5
2144,3
2145,6
2146,2
2147,1
2148,6
2149,0
2150,1
2151,3
2152,3
2153,3
2154,6
2155,6
2156,7
2157,3
2158,0
2159,7
2160,2
2161,1
2162,3
2163,1
2164,3
2165,3
2166,3
2167,0
2168,7
2169,3
2170,6
2171,6
2172,0
2173,3
2174,7
2175,3
2176,3
2177,5
2178,3
2179,5
2180,5
2181,5
2182,3
2183,3
2184,2
2185,0
2186,2
2187,1
2188,7
2189,3
2190,6
2191,7
2192,6
2193,3
2194,3
2195,7
2196,7
2197,4
2198,6
