,0
1203,1
1204,2
1205,-1
1206,-1
1207,-1
1208,1
1209,1
1210,6
1211,1
1212,1
1213,-1
1214,-1
1215,1
1216,6
1217,6
1218,1
1219,1
1220,6
1221,1
1222,-1
1223,6
1224,-1
1225,-1
1226,-1
1227,1
1228,3
1229,-1
1230,1
1231,-1
1232,-1
1233,-1
1234,-1
1235,-1
1236,-1
1237,1
1238,1
1239,1
1240,10
1241,1
1242,-1
1243,1
1244,3
1245,-1
1246,-1
1247,6
1248,-1
1249,7
1250,6
1251,9
1252,-1
1253,1
1254,-1
1255,-1
1256,1
1257,6
1258,1
1259,-1
1260,-1
1261,-1
1262,6
1263,-1
1264,-1
1265,1
1266,-1
1267,-1
1268,-1
1269,1
1270,2
1271,1
1272,1
1273,-1
1274,-1
1275,-1
1276,2
1277,1
1278,1
1279,-1
1280,2
1281,-1
1282,1
1283,1
1284,-1
1285,2
1286,-1
1287,4
1288,2
1289,-1
1290,4
1291,-1
1292,-1
1293,-1
1294,2
1295,-1
1296,-1
1297,-1
1298,10
1299,0
1300,0
1301,-1
1302,-1
1303,-1
1304,-1
1305,-1
1306,0
1307,-1
1308,-1
1309,-1
1310,-1
1311,-1
1312,-1
1313,-1
1314,-1
1315,-1
1316,-1
1317,-1
1318,0
1319,-1
1320,-1
1321,1
1322,-1
1323,-1
1324,-1
1325,1
1326,4
1327,-1
1328,1
1329,1
1330,4
1331,1
1332,-1
1333,1
1334,-1
1335,1
1336,1
1337,-1
1338,-1
1339,7
1340,7
1341,-1
1342,-1
1343,-1
1344,-1
1345,2
1346,7
1347,-1
1348,1
1349,2
1350,-1
1351,1
1352,-1
1353,1
1354,-1
1355,-1
1356,2
1357,1
1358,1
1359,2
1360,7
1361,-1
1362,1
1363,-1
1364,-1
1365,-1
1366,-1
1367,1
1368,-1
1369,-1
1370,7
1371,2
1372,4
1373,-1
1374,1
1375,-1
1376,1
1377,4
1378,-1
1379,1
1380,1
1381,1
1382,-1
1383,-1
1384,2
1385,-1
1386,-1
1387,-1
1388,2
1389,2
1390,2
1391,1
1392,-1
1393,2
1394,-1
1395,-1
1396,-1
1397,-1
1398,-1
1399,-1
1400,2
1401,2
1402,1
1403,2
1404,6
1405,-1
1406,-1
1407,-1
1408,-1
1409,-1
1410,-1
1411,-1
1412,1
1413,-1
1414,-1
1415,-1
1416,-1
1417,-1
1418,1
1419,-1
1420,-1
1421,1
1422,-1
1423,-1
1424,6
1425,-1
1426,-1
1427,-1
1428,7
1429,-1
1430,-1
1431,-1
1432,-1
1433,-1
1434,-1
1435,1
1436,1
1437,-1
1438,-1
1439,2
1440,-1
1441,1
1442,1
1443,-1
1444,-1
1445,-1
1446,-1
1447,-1
1448,-1
1449,-1
1450,-1
1451,5
1452,-1
1453,2
1454,1
1455,-1
1456,-1
1457,-1
1458,4
1459,-1
1460,-1
1461,-1
1462,-1
1463,2
1464,1
1465,2
1466,1
1467,1
1468,-1
1469,-1
1470,2
1471,1
1472,1
1473,2
1474,1
1475,-1
1476,-1
1477,1
1478,-1
1479,-1
1480,-1
1481,1
1482,1
1483,-1
1484,-1
1485,1
1486,-1
1487,1
1488,-1
1489,-1
1490,-1
1491,-1
1492,1
1493,1
1494,-1
1495,2
1496,-1
1497,1
1498,1
1499,4
1500,7
1501,-1
1502,-1
1503,-1
1504,-1
1505,1
1506,-1
1507,1
1508,1
1509,-1
1510,-1
1511,-1
1512,1
1513,1
1514,1
1515,-1
1516,-1
1517,-1
1518,1
1519,-1
1520,-1
1521,0
1522,-1
1523,-1
1524,2
1525,-1
1526,-1
1527,-1
1528,-1
1529,2
1530,-1
1531,8
1532,1
1533,-1
1534,2
1535,-1
1536,1
1537,2
1538,-1
1539,-1
1540,-1
1541,4
1542,8
1543,-1
1544,-1
1545,-1
1546,-1
1547,-1
