num,id,ingredients
56,Souvlaki-Roast-Chicken-with-Lemon-Mint-Tzatziki-2359296,"['chicken pieces', 'fresh lemon juice', 'olive oil', 'balsamic vinegar', 'kosher salt', 'smoked paprika', 'freshly ground black pepper', 'minced garlic', 'greek yogurt', 'English cucumber', 'chopped fresh mint', 'salt']"
57,Greek-Skillet-Supper-2362304,"['lean ground beef', 'sweet onion', 'dried oregano', 'ground cinnamon', 'garlic powder', 'beef broth', 'diced tomatoes', 'ketchup', 'penne pasta', 'spinach', 'feta cheese crumbles']"
58,Greek-Pastitsio-958822,"['elbow macaroni', 'ground lamb', 'onions', 'garlic cloves', 'tomato sauce', 'salt', 'dried oregano', 'black pepper', 'ground cinnamon', 'grated parmesan cheese', 'butter', 'all-purpose flour', 'milk', 'eggs']"
59,Greek-Lamb-Burger-2096078,"['ground lamb', 'dried oregano', 'dried mint', 'onion powder', 'salt', 'black pepper']"
60,Stuffed-Whole-Fish-Greek-Style-1979211,"['cherry tomatoes', 'olive oil', 'white wine vinegar', 'chilies', 'fresh oregano', 'garlic', 'salt', 'freshly ground black pepper', 'fish', 'lemon', 'fresh thyme']"
61,Greek-Chicken-1592666,"['boneless skinless chicken breasts', 'extra-virgin olive oil', 'fresh lemon juice', 'lemon zest', 'garlic cloves', 'dried dill', 'fresh rosemary', 'dried oregano', 'salt', 'black pepper', 'granulated sugar', 'fresh parsley']"
62,No-Crust-Greek-Spinach-_-Feta-Pie-990970,"['frozen chopped spinach', 'feta cheese', 'green onions', 'dill', 'parsley', 'egg whites', 'eggs', 'skim milk', 'whole wheat flour', 'garlic', 'baking powder', 'salt', 'ground black pepper']"
63,Greek-Yogurt-Chicken-1895873,"['chicken pieces', 'greek yogurt', 'olive oil', 'dried oregano', 'garlic', 'fresh parsley', 'lemon', 'salt', 'cracked black pepper']"
64,Greek-chicken-salad-298639,"['wish-bone greek vinaigrette dressing', 'boneless skinless chicken breasts', 'nonfat yogurt plain', 'cucumber', 'chopped garlic', 'lemon juice', 'rocket leaves', 'tomatoes']"
65,10-Minute-Greek-Cheese-Tortellini-1415368,"['cheese tortellini', 'olive oil', 'garlic', 'tomatoes', 'lemon', 'herbs', 'salt', 'pepper', 'feta cheese crumbles']"
66,Greek_spiced-Baked-Shrimp-Epicurious,"['onions', 'garlic cloves', 'extra-virgin olive oil', 'hot red pepper flakes', 'ground cinnamon', 'ground allspice', 'tomatoes', 'juice', 'sugar', 'deveined shrimp', 'feta cheese', 'dill']"
67,Recipe-For-Ground-Lamb-Kebabs-With-Tzatziki-Sauce-1560797,"['cucumber', 'garlic', 'fresh mint', 'lemon juice', 'salt', 'pepper', 'plain greek yogurt', 'ground lamb', 'onions', 'fresh parsley', 'chopped fresh mint', 'fresh oregano', 'ground cumin', 'aleppo pepper', 'eggs']"
68,Greek-Chicken-1609524,"['olive oil', 'garlic', 'fresh rosemary', 'chopped fresh thyme', 'fresh oregano', 'lemon', 'chicken']"
69,Greek-Yogurt-Chicken-1611689,"['chicken breasts', 'greek yogurt', 'garlic', 'dried dill', 'dried oregano', 'lemon pepper', 'olive oil', 'paprika']"
70,Greek-Spinach-and-Rice-recipe-_Spanakorizo_-1340289,"['spinach', 'white rice', 'olive oil', 'spring onions', 'red onion', 'leeks', 'dill', 'chopped tomatoes', 'fresh tomatoes', 'tomato paste', 'salt', 'freshly ground pepper']"
71,Lemon-Greek-Chicken-1860407,"['lemon', 'olive oil', 'garlic cloves', 'dried leaves oregano', 'salt', 'cracked black pepper', 'meat bones', 'red potato', 'red bell pepper', 'red onion', 'white mushrooms']"
72,Lemon-_-Greek-Yogurt-Chicken-1819026,"['greek yogurt', 'lemon zest', 'lemon juice', 'dill', 'parsley', 'salt', 'pepper', 'chicken breasts']"
