num,id,ingredients
38,Inside-out-chicken-pot-pies-334848,"['puff pastry', 'cream of chicken soup', 'milk', 'chicken', 'mixed vegetables', 'cajun seasoning', 'salt', 'garlic salt', 'rosemary sprigs']"
39,Chicken-Gumbo-with-Andouille-Sausage-Simply-Recipes-42408,"['bacon', 'chicken thighs', 'salt', 'andouille sausage', 'peanut oil', 'flour', 'green pepper', 'celery ribs', 'onions', 'garlic cloves', 'tomato paste', 'chicken stock', 'water', 'okra', 'green onions', 'fresh parsley', 'black pepper', 'cayenne pepper', 'celery seed', 'sweet paprika', 'garlic powder', 'dried thyme', 'dried oregano']"
40,Louisiana-Catfish-with-Okra-_-Corn-982590,"['okra', 'corn kernels', 'onions', 'extra-virgin olive oil', 'creole seasoning', 'catfish fillets']"
41,Shrimp-Creole-1900705,"['olive oil', 'onions', 'green bell pepper', 'celery', 'garlic', 'diced tomatoes', 'tomato sauce', 'cayenne pepper', 'cajun seasoning', 'bay leaf', 'all-purpose flour', 'water', 'large shrimp', 'worcestershire sauce', 'hot sauce', 'scallions', 'fresh parsley', 'salt']"
42,Chicken-Andouille-Sausage-Gumbo-2015360,"['chicken', 'water', 'okra', 'unsalted butter', 'flour', 'yellow onion', 'bell pepper', 'celery', 'garlic', 'canned tomatoes', 'andouille sausage', 'bay leaf', 'thyme', 'basil', 'cayenne pepper', 'black pepper', 'kosher salt', 'gumbo file']"
43,Cajun-Pork-Chops-1437777,"['pork chops', 'cajun seasoning', 'yellow onion', 'olive oil', 'crushed tomatoes', 'salt', 'pepper']"
44,Shrimp-Creole-2089681,"['medium shrimp uncook', 'butter', 'onions', 'green bell pepper', 'celery', 'garlic', 'water', 'fresh parsley', 'salt', 'ground red pepper', 'bay leaves', 'tomato sauce', 'cooked rice']"
45,New-Orleans-BBQ-Shrimp-1005823,"['butter', 'garlic', 'hot sauce', 'worcestershire sauce', 'beer', 'lemon juice', 'creole seasoning', 'ground black pepper', 'shrimp', 'salt', 'french bread']"
46,Blackened-shrimp-on-kale-and-mashed-sweet-potatoes-with-andouille-cream-350881,"['sweet potatoes', 'butter', 'cinnamon', 'oil', 'andouille sausage', 'onions', 'celery', 'bell pepper', 'garlic', 'thyme', 'white wine', 'heavy cream', 'creole seasoning', 'shrimp', 'kale', 'parsley']"
47,Lighter-Red-Beans-_-Rice-_Crock-Pot-Recipe_-1455601,"['green bell pepper', 'onions', 'celery ribs', 'garlic cloves', 'andouille sausage', 'creole seasoning', 'red kidney beans', 'water', 'cooked white rice']"
48,Cajun-Steak-1642564,"['steak', 'kosher salt', 'black pepper', 'Louisiana Cajun Seasoning']"
49,Louisiana-_New-Orleans_-Style-Dinner-I-Adore-Food-55291,"['milk', 'butter', 'spanish onion', 'garlic', 'cream cheese', 'chopped fresh cilantro', 'chopped fresh chives', 'small red potatoes', 'sour cream', 'pork tenderloin', 'bacon', 'corn', 'heavy cream', 'cajun seasoning', 'onion powder']"
50,Cajun-Catfish-My-Recipes_1,"['catfish fillets', 'fresh lemon juice', 'cajun seasoning', 'vegetable oil cooking spray', 'lemon wedges']"
51,Gumbo-2357384,"['canola oil', 'okra', 'unsalted butter', 'all-purpose flour', 'red pepper', 'green pepper', 'yellow onion', 'garlic cloves', 'tomatoes', 'cajun seasoning', 'bay leaves', 'vegetable stock', 'shrimp', 'salt', 'ground black pepper', 'cayenne', 'paprika', 'dried oregano']"
52,Creamy-_-Spicy-Cajun-Sausage-Alfredo-1072696,"['bow-tie pasta', 'diced onions', 'unsalted butter', 'sausages', 'green bell pepper', 'white mushrooms', 'sun-dried tomatoes', 'heavy cream', 'parmigiano reggiano cheese', 'creole seasoning', 'green onions']"
53,Creole-Pinto-Beans-and-Sausage-1519805,"['dried pinto beans', 'smoked sausage', 'paprika', 'onion powder', 'garlic powder', 'oregano', 'dried basil', 'ground thyme', 'celery salt', 'ground black pepper', 'ground white pepper', 'ground cayenne pepper', 'pepper']"
54,Creole-Mustard-Battered-Tilapia-1585440,"['vegetable oil', 'milk', 'creole mustard', 'lemon', 'tilapia fillets', 'fish', 'ground black pepper']"
55,Jambalaya-2361351,"['olive oil', 'yellow onion', 'celery ribs', 'bell pepper', 'salt', 'ground pepper', 'garlic', 'boneless skinless chicken breasts', 'sweet paprika', 'oregano', 'andouille sausage', 'tomato paste', 'low-sodium fat-free chicken broth', 'diced tomatoes', 'long-grain rice', 'cajun seasoning', 'shrimp', 'green onions', 'dried parsley']"
56,Zesty-Shrimp-Creole-Recipe-_Grain-Free_-2067553,"['butter', 'onions', 'green bell pepper', 'chopped celery', 'bay leaves', 'chopped tomatoes', 'chopped garlic', 'flour', 'water', 'shrimp', 'green onions', 'fresh parsley', 'worcestershire sauce', 'hot chili sauce', 'seasoning', 'salt', 'cayenne', 'paprika', 'garlic powder', 'black pepper', 'onion powder', 'cayenne pepper', 'dried oregano', 'dried thyme', 'cauliflower']"
57,Chicken-and-Sausage-Jambalaya-2054212,"['canola oil', 'boneless skinless chicken thighs', 'smoked sausage', 'white onion', 'green bell pepper', 'chopped celery', 'garlic cloves', 'bay leaves', 'creole seasoning', 'dried thyme', 'dried oregano', 'converted rice', 'chicken broth', 'fire roasted diced tomatoes', 'scallions']"
58,Jambalaya-984395,"['olive oil', 'celery', 'white onion', 'red bell pepper', 'yellow bell pepper', 'green bell pepper', 'jalapeno chilies', 'garlic', 'boneless skinless chicken breasts', 'andouille sausage', 'chicken stock', 'crushed tomatoes', 'brown rice', 'creole seasoning', 'bay leaf', 'thyme', 'cayenne pepper', 'shrimp', 'okra', 'salt', 'pepper', 'fresh parsley', 'hot sauce', 'sliced green onions']"
