num,id,ingredients
76,Sweet-Potato-_-Black-Bean-Chili-1865112,"['virgin olive oil', 'sweet potatoes', 'onions', 'garlic', 'chili powder', 'ground cumin', 'chipotle chile', 'salt', 'water', 'black beans', 'diced tomatoes', 'lime juice', 'chopped fresh cilantro']"
77,Southwest-chicken-salad-slider-melts-333377,"['boneless skinless chicken', 'olive oil', 'green bell pepper', 'red onion', 'red bell pepper', 'salt', 'black beans', 'sweet corn', 'greek yogurt', 'cumin', 'smoked paprika', 'pepper', 'chopped fresh cilantro', 'sharp cheddar cheese', 'slider buns']"
78,5-Ingredient-Burrito-Casserole-1570397,"['ground beef', 'chili beans', 'salsa', 'shredded cheddar cheese', 'tortillas']"
79,Beef-Enchilada-Casserole-2203338,"['lean ground beef', 'chopped onion', 'red enchilada sauce', 'condensed cream of mushroom soup', 'cream of chicken soup', 'chile pepper', 'milk', 'garlic', 'tortilla chips', 'cheddar cheese', 'ripe olives']"
80,5-Minute-Prep-Tex-Mex-Casserole-1611070,"['black beans', 'chili powder', 'cumin', 'black pepper', 'sea salt', 'salsa', 'tortilla chips', 'Mexican cheese blend', 'nonfat greek yogurt']"
81,Black-Bean-Tacos-2018618,"['flour tortillas', 'cooked brown rice', 'lime', 'cilantro leaves', 'kosher salt', 'black beans', 'red bell pepper', 'greens', 'salsa']"
82,King-Ranch-Casserole-1614797,"['vegetable oil', 'green bell pepper', 'chopped onion', 'garlic', 'cream of chicken soup', 'diced tomatoes and green chilies', 'chili powder', 'corn tortillas', 'cooked chicken', 'shredded sharp cheddar cheese']"
83,Slow-Cooker-White-Chicken-Chili-1539867,"['yellow onion', 'garlic', 'boneless skinless chicken thighs', 'Great Northern Beans', 'diced tomatoes', 'green chilies', 'chicken stock', 'cream cheese', 'oregano leaves', 'ground cumin', 'chili powder', 'smoked paprika', 'kosher salt', 'black pepper', 'chopped cilantro', 'shredded cheese', 'corn tortilla chips']"
84,Chelsea-1233267,"['noodles', 'diced tomatoes and green chilies', 'green chilies', 'onions', 'green bell pepper', 'black beans', 'taco seasoning', 'taco sauce', 'crumbles', 'beef stock', 'fresh cilantro']"
85,Crockpot-Beef-Tamale-Pie-2214918,"['lean ground beef', 'onions', 'garlic', 'green bell pepper', 'kidney beans', 'tomato sauce', 'salsa', 'chili powder', 'salt', 'pepper', 'corn mix muffin', 'milk', 'melted butter', 'eggs', 'shredded pepper jack cheese', 'grated parmesan cheese', 'chop green chilies, undrain', 'colby cheese', 'sour cream', 'chopped fresh cilantro']"
86,Skinny-_-Delicious-Southwestern-Slow-Cooker-Chicken-1904613,"['corn', 'black beans', 'chunky salsa', 'chicken breast halves', 'southwest seasoning', 'Mexican cheese blend']"
87,Southwestern-Corn-and-Beef-Skillet-1548799,"['rotini pasta', 'ground beef', 'chopped onion', 'tomato sauce', 'corn', 'salt', 'shredded cheddar cheese', 'green onions']"
88,Easy-Creamy-Green-Chile-Chicken-Enchiladas-1709432,"['unsalted butter', 'flour', 'chicken stock', 'salsa verde', 'greek yogurt', 'chicken', 'jack', 'soft taco size flour tortillas', 'fresh cilantro']"
89,Skinny-Slow-Cooker-Southwestern-Chicken-and-Veggies-1237779,"['corn', 'bell pepper', 'onions', 'chopped fresh cilantro', 'lime', 'chicken', 'cumin', 'chili powder']"
