num,id,ingredients
51,30-Minute-Roasted-Shrimp-and-Broccoli-Fettuccine-Alfredo-_Lightened-up__-2002982,"['broccoli florets', 'peeled shrimp', 'olive oil', 'salt', 'pepper', 'garlic powder', 'paprika', 'fettucine', 'butter', 'garlic cloves', 'flour', 'chicken broth', 'milk', 'dried basil', 'black pepper', 'red pepper flakes', 'grated parmesan cheese', 'shredded mozzarella cheese', 'cream cheese', 'fresh parsley', 'lemon juice']"
52,Bruschetta-Chicken-with-Zucchini-Noodles-1921639,"['roma tomatoes', 'garlic', 'basil', 'olive oil', 'zucchini', 'grated parmesan cheese', 'parsley', 'boneless skinless chicken breasts', 'fresh mozzarella cheese']"
53,Fried-Ravioli-494617,"['vegetable oil', 'buttermilk', 'Italian style breadcrumbs', 'cheese ravioli', 'freshly grated parmesan', 'marinara sauce']"
54,Easiest-Ever-Spinach-Lasagna-1953020,"['ricotta cheese', 'frozen chopped spinach', 'shredded mozzarella cheese', 'large eggs', 'salt', 'marinara sauce', 'lasagna noodles']"
55,Penne-alla-Sorrentina-2255415,"['penne rigate', 'ricotta', 'marinara sauce', 'mozzarella cheese', 'parmigiano reggiano cheese', 'basil leaves']"
56,Easy-Chicken-Parmesan-1599198,"['chicken tenderloin', 'bread crumbs', 'large eggs', 'tomato sauce', 'olive oil', 'grated parmesan cheese', 'shredded mozzarella cheese', 'pasta']"
57,Cheesy-Tortellini-Skillet-Lasagna-2077424,"['ground beef', 'italian seasoning', 'pasta sauce', 'crushed red pepper', 'cheese tortellini', 'shredded mozzarella cheese']"
58,Baked-Italian-Meatballs-2368319,"['ground beef', 'seasoned bread crumbs', 'eggs', 'water', 'minced garlic', 'salt', 'pepper']"
59,Penne-Pasta-Skillet-1050171,"['lean ground beef', 'pasta sauce', 'water', 'penne pasta', 'KRAFT Shredded Low-Moisture Part-Skim Mozzarella Cheese']"
60,Prosciutto-and-arugula-pizza-308003,"['pizza doughs', 'olive oil', 'tomato sauce', 'mozzarella cheese', 'prosciutto', 'arugula']"
61,Italian-Sausage-and-Penne-Pasta-2063032,"['italian sausage', 'garlic', 'penne pasta', 'broccoli florets', 'butter', 'pecorino romano cheese', 'olive oil']"
62,Sundried-Tomato_-Spinach_-and-Cheese-Stuffed-Chicken-1113145,"['chicken breasts', 'Kraft Sun Dried Tomato Vinaigrette', 'sun-dried tomatoes', 'spinach', 'feta cheese', 'mozzarella cheese']"
63,Stuffed-Shells-510879,"['jumbo pasta shells', 'ricotta cheese', 'large eggs', 'grated parmesan cheese', 'mozzarella cheese', 'parsley', 'tomato sauce']"
64,Twenty-Minute-Easy-Tortellini-Bake-1064717,"['tortellini', 'shredded mozzarella cheese', 'grated parmesan cheese', 'low-fat spaghetti sauce', 'parsley']"
65,Spicy-Spaghetti-With-Garlic-and-Olive-Oil-2215863,"['spaghetti', 'virgin olive oil', 'bread crumbs', 'garlic', 'pepper flakes', 'chile pepper', 'parsley leaves']"
66,Italian-Sausage-and-Pasta-with-Tomato-Cream-Sauce-1039571,"['bow-tie pasta', 'sausage casings', 'diced tomatoes', 'dried oregano', 'garlic powder', 'salt', 'heavy cream', 'grated parmesan cheese']"
